,Category,Item Name,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carbs (g),Fiber (g),Sugars (g),Protein (g),Vitamin A (% Daily Value),Vitamin C (% Daily Value),Calcium (% Daily Value),Iron (% Daily Value)
47,Beef & Pork,Double Quarter Pounder with Cheese,750,380,43.0,19.0,2.5,160,1280,42,3,10,48,10,2,30,35
48,Beef & Pork,Hamburger,240,70,8.0,3.0,0.0,30,480,32,1,6,12,2,2,10,15
49,Beef & Pork,Cheeseburger,290,100,11.0,5.0,0.5,45,680,33,2,7,15,6,2,20,15
50,Beef & Pork,Double Cheeseburger,430,190,21.0,10.0,1.0,90,1040,35,2,7,24,10,2,30,20
51,Beef & Pork,Bacon Clubhouse Burger,720,360,40.0,15.0,1.5,115,1470,51,4,14,39,8,25,30,25
52,Beef & Pork,McDouble,380,150,17.0,8.0,1.0,75,840,34,2,7,22,6,2,20,20
53,Beef & Pork,Bacon McDouble,440,200,22.0,10.0,1.0,90,1110,35,2,7,27,6,10,20,20
54,Beef & Pork,Daily Double,430,200,22.0,9.0,1.0,80,760,34,2,7,22,8,8,20,20
55,Beef & Pork,Jalapeño Double,430,210,23.0,9.0,1.0,80,1030,35,2,6,22,6,8,20,20
56,Beef & Pork,McRib,500,240,26.0,10.0,0.0,70,980,44,3,11,22,2,2,15,20
57,Chicken & Fish,Premium Crispy Chicken Classic Sandwich,510,200,22.0,3.5,0.0,45,990,55,3,10,24,4,6,15,20
58,Chicken & Fish,Premium Grilled Chicken Classic Sandwich,350,80,9.0,2.0,0.0,65,820,42,3,8,28,4,8,15,20
59,Chicken & Fish,Premium Crispy Chicken Club Sandwich,670,300,33.0,9.0,0.0,85,1410,58,3,11,36,8,20,30,20
60,Chicken & Fish,Premium Grilled Chicken Club Sandwich,510,180,20.0,7.0,0.0,105,1250,44,3,9,40,8,20,30,20
61,Chicken & Fish,Premium Crispy Chicken Ranch BLT Sandwich,610,250,28.0,6.0,0.0,70,1400,57,3,11,32,4,20,15,20
62,Chicken & Fish,Premium Grilled Chicken Ranch BLT Sandwich,450,130,15.0,4.5,0.0,90,1230,43,3,9,36,4,20,15,20
63,Chicken & Fish,Bacon Clubhouse Crispy Chicken Sandwich,750,340,38.0,10.0,0.5,90,1720,65,4,16,36,8,25,30,15
64,Chicken & Fish,Bacon Clubhouse Grilled Chicken Sandwich,590,230,25.0,8.0,0.0,110,1560,51,4,14,40,8,30,30,15
65,Chicken & Fish,Southern Style Crispy Chicken Sandwich,430,170,19.0,3.0,0.0,45,910,43,2,7,21,4,2,15,15
66,Chicken & Fish,McChicken,360,140,16.0,3.0,0.0,35,800,40,2,5,14,0,2,10,15
67,Chicken & Fish,Bacon Cheddar McChicken,480,220,24.0,7.0,0.0,65,1260,43,2,6,22,4,10,20,15
68,Chicken & Fish,Bacon Buffalo Ranch McChicken,430,190,21.0,5.0,0.0,50,1260,41,2,6,20,2,10,15,15
69,Chicken & Fish,Buffalo Ranch McChicken,360,150,16.0,3.0,0.0,35,990,40,2,5,14,2,2,15,15
70,Chicken & Fish,Premium McWrap Chicken & Bacon (Crispy Chicken),630,280,32.0,9.0,0.5,80,1540,56,3,7,32,60,20,20,20
71,Chicken & Fish,Premium McWrap Chicken & Bacon (Grilled Chicken),480,170,19.0,7.0,0.0,95,1370,42,3,6,36,60,25,20,20
72,Chicken & Fish,Premium McWrap Chicken & Ranch (Crispy Chicken),610,280,31.0,8.0,0.5,65,1340,56,3,8,27,60,15,20,20
73,Chicken & Fish,Premium McWrap Chicken & Ranch (Grilled Chicken),450,160,18.0,6.0,0.5,80,1170,42,3,6,30,60,15,15,20
74,Chicken & Fish,Premium McWrap Southwest Chicken (Crispy Chicken),670,300,33.0,8.0,0.5,60,1480,68,5,12,27,60,15,20,20
75,Chicken & Fish,Premium McWrap Southwest Chicken (Grilled Chicken),520,180,20.0,6.0,0.0,80,1320,55,5,10,31,70,15,20,20
76,Chicken & Fish,Premium McWrap Chicken Sweet Chili (Crispy Chicken),540,200,23.0,4.5,0.0,50,1260,61,3,14,23,60,15,8,20
77,Chicken & Fish,Premium McWrap Chicken Sweet Chili (Grilled Chicken),380,90,10.0,3.0,0.0,65,1090,47,3,12,27,60,15,8,20
78,Chicken & Fish,Chicken McNuggets (4 piece),190,110,12.0,2.0,0.0,25,360,12,1,0,9,0,2,0,2
79,Chicken & Fish,Chicken McNuggets (6 piece),280,160,18.0,3.0,0.0,40,540,18,1,0,13,0,2,2,4
80,Chicken & Fish,Chicken McNuggets (10 piece),470,270,30.0,5.0,0.0,65,900,30,2,0,22,0,4,2,6
81,Chicken & Fish,Chicken McNuggets (20 piece),940,530,59.0,10.0,0.0,135,1800,59,3,0,44,0,8,4,10
82,Chicken & Fish,Chicken McNuggets (40 piece),1880,1060,118.0,20.0,1.0,265,3600,118,6,1,87,0,15,8,25
83,Chicken & Fish,Filet-O-Fish,390,170,19.0,4.0,0.0,40,590,39,2,5,15,2,0,15,10
84,Salads,Premium Bacon Ranch Salad (without Chicken),140,70,7.0,3.5,0.0,25,300,10,3,4,9,170,30,15,6
85,Salads,Premium Bacon Ranch Salad with Crispy Chicken,380,190,21.0,6.0,0.0,70,860,22,2,5,25,100,25,15,8
86,Salads,Premium Bacon Ranch Salad with Grilled Chicken,220,80,8.0,4.0,0.0,85,690,8,2,4,29,110,30,15,8
87,Salads,Premium Southwest Salad (without Chicken),140,40,4.5,2.0,0.0,10,150,20,6,6,6,160,25,15,10
88,Salads,Premium Southwest Salad with Crispy Chicken,450,190,22.0,4.5,0.0,50,850,42,7,12,23,170,30,15,15
89,Salads,Premium Southwest Salad with Grilled Chicken,290,80,8.0,2.5,0.0,70,680,28,7,10,27,170,30,15,15
90,Snacks & Sides,Chipotle BBQ Snack Wrap (Crispy Chicken),340,130,15.0,4.5,0.0,30,780,37,1,8,14,4,0,10,10
91,Snacks & Sides,Chipotle BBQ Snack Wrap (Grilled Chicken),260,70,8.0,3.5,0.0,40,700,30,1,7,16,4,2,10,10
92,Snacks & Sides,Honey Mustard Snack Wrap (Crispy Chicken),330,130,15.0,4.5,0.0,35,730,34,1,3,14,2,0,10,10
93,Snacks & Sides,Honey Mustard Snack Wrap (Grilled Chicken),250,70,8.0,3.5,0.0,45,650,27,1,2,16,2,2,10,10
94,Snacks & Sides,Ranch Snack Wrap (Crispy Chicken),360,180,20.0,5.0,0.0,40,810,32,1,3,15,2,0,10,10
95,Snacks & Sides,Ranch Snack Wrap (Grilled Chicken),280,120,13.0,4.5,0.0,45,720,25,1,2,16,2,2,10,10
96,Snacks & Sides,Small French Fries,230,100,11.0,1.5,0.0,0,130,30,2,0,2,0,30,0,4
97,Snacks & Sides,Medium French Fries,340,140,16.0,2.5,0.0,0,190,44,4,0,4,0,45,2,4
98,Snacks & Sides,Large French Fries,510,220,24.0,3.5,0.0,0,290,67,5,0,6,0,70,2,8
99,Snacks & Sides,Kids French Fries,110,50,5.0,1.0,0.0,0,65,15,1,0,1,0,15,0,2
100,Snacks & Sides,Side Salad,20,0,0.0,0.0,0.0,0,10,4,1,2,1,45,25,2,4
101,Snacks & Sides,Apple Slices,15,0,0.0,0.0,0.0,0,0,4,0,3,0,0,160,2,0
102,Snacks & Sides,Fruit 'n Yogurt Parfait,150,20,2.0,1.0,0.0,5,70,30,1,23,4,2,15,10,4
103,Desserts,Baked Apple Pie,250,110,13.0,7.0,0.0,0,170,32,4,13,2,4,25,2,6
104,Desserts,Chocolate Chip Cookie,160,70,8.0,3.5,0.0,10,90,21,1,15,2,2,0,2,8
105,Desserts,Oatmeal Raisin Cookie,150,50,6.0,2.5,0.0,10,135,22,1,13,2,2,0,2,6
106,Desserts,Kids Ice Cream Cone,45,10,1.5,1.0,0.0,5,20,7,0,6,1,2,0,4,0
107,Desserts,Hot Fudge Sundae,330,80,9.0,7.0,0.0,25,170,53,1,48,8,8,0,25,8
108,Desserts,Hot Caramel Sundae,340,70,8.0,5.0,0.0,30,150,60,0,43,7,10,0,25,0
109,Desserts,Strawberry Sundae,280,60,6.0,4.0,0.0,25,85,49,0,45,6,8,4,20,0
110,Beverages,Coca-Cola Classic (Small),140,0,0.0,0.0,0.0,0,0,39,0,39,0,0,0,0,0
111,Beverages,Coca-Cola Classic (Medium),200,0,0.0,0.0,0.0,0,5,55,0,55,0,0,0,0,0
112,Beverages,Coca-Cola Classic (Large),280,0,0.0,0.0,0.0,0,5,76,0,76,0,0,0,0,0
113,Beverages,Coca-Cola Classic (Child),100,0,0.0,0.0,0.0,0,0,28,0,28,0,0,0,0,0
114,Beverages,Diet Coke (Small),0,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0
115,Beverages,Diet Coke (Medium),0,0,0.0,0.0,0.0,0,20,0,0,0,0,0,0,0,0
116,Beverages,Diet Coke (Large),0,0,0.0,0.0,0.0,0,35,0,0,0,0,0,0,0,0
117,Beverages,Diet Coke (Child),0,0,0.0,0.0,0.0,0,15,0,0,0,0,0,0,0,0
118,Beverages,Dr Pepper (Small),140,0,0.0,0.0,0.0,0,45,37,0,35,0,0,0,0,0
119,Beverages,Dr Pepper (Medium),190,0,0.0,0.0,0.0,0,65,53,0,51,0,0,0,0,0
120,Beverages,Dr Pepper (Large),270,0,0.0,0.0,0.0,0,90,72,0,70,0,0,0,0,0
121,Beverages,Dr Pepper (Child),100,0,0.0,0.0,0.0,0,30,27,0,26,0,0,0,0,0
122,Beverages,Diet Dr Pepper (Small),0,0,0.0,0.0,0.0,0,70,0,0,0,2,0,0,0,0
123,Beverages,Diet Dr Pepper (Medium),0,0,0.0,0.0,0.0,0,100,0,0,0,3,0,0,0,0
124,Beverages,Diet Dr Pepper (Large),0,0,0.0,0.0,0.0,0,140,0,0,0,4,0,0,0,0
125,Beverages,Diet Dr Pepper (Child),0,0,0.0,0.0,0.0,0,50,0,0,0,1,0,0,0,0
126,Beverages,Sprite (Small),140,0,0.0,0.0,0.0,0,30,37,0,37,0,0,0,0,0
127,Beverages,Sprite (Medium),200,0,0.0,0.0,0.0,0,45,54,0,54,0,0,0,0,0
128,Beverages,Sprite (Large),280,0,0.0,0.0,0.0,0,60,74,0,74,0,0,0,0,0
129,Beverages,Sprite (Child),100,0,0.0,0.0,0.0,0,25,27,0,27,0,0,0,0,0
130,Beverages,1% Low Fat Milk Jug,100,20,2.5,1.5,0.0,10,125,12,0,12,8,10,4,30,0
131,Beverages,Fat Free Chocolate Milk Jug,130,0,0.0,0.0,0.0,5,135,23,1,22,9,10,0,30,8
132,Beverages,Minute Maid 100% Apple Juice Box,80,0,0.0,0.0,0.0,0,15,21,0,19,0,0,100,10,0
133,Beverages,Minute Maid Orange Juice (Small),150,0,0.0,0.0,0.0,0,0,34,0,30,2,0,130,2,0
134,Beverages,Minute Maid Orange Juice (Medium),190,0,0.0,0.0,0.0,0,0,44,0,39,3,0,160,4,0
135,Beverages,Minute Maid Orange Juice (Large),280,0,0.0,0.0,0.0,0,5,65,0,58,4,0,240,4,0
136,Beverages,Dasani Water Bottle,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
137,Coffee & Tea,Iced Tea (Small),0,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0
138,Coffee & Tea,Iced Tea (Medium),0,0,0.0,0.0,0.0,0,10,0,0,0,0,0,0,0,0
139,Coffee & Tea,Iced Tea (Large),0,0,0.0,0.0,0.0,0,15,0,0,0,0,0,0,0,0
140,Coffee & Tea,Iced Tea (Child),0,0,0.0,0.0,0.0,0,5,0,0,0,0,0,0,0,0
141,Coffee & Tea,Sweet Tea (Small),150,0,0.0,0.0,0.0,0,10,36,0,36,1,0,0,0,0
142,Coffee & Tea,Sweet Tea (Medium),180,0,0.0,0.0,0.0,0,10,45,0,45,1,0,0,0,0
143,Coffee & Tea,Sweet Tea (Large),220,0,0.0,0.0,0.0,0,10,54,0,54,1,0,0,0,0
144,Coffee & Tea,Sweet Tea (Child),110,0,0.0,0.0,0.0,0,5,27,0,27,0,0,0,0,0
145,Coffee & Tea,Coffee (Small),0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
146,Coffee & Tea,Coffee (Medium),0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
147,Coffee & Tea,Coffee (Large),0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
148,Coffee & Tea,Latte (Small),170,80,9.0,5.0,0.0,25,115,15,1,12,9,8,0,30,0
149,Coffee & Tea,Latte (Medium),210,90,10.0,6.0,0.0,30,140,18,1,15,11,10,0,35,0
150,Coffee & Tea,Latte (Large),280,120,14.0,8.0,0.0,40,180,24,1,20,15,15,0,50,2
151,Coffee & Tea,Caramel Latte (Small),270,80,9.0,5.0,0.0,25,115,40,1,38,9,8,0,30,0
152,Coffee & Tea,Caramel Latte (Medium),340,90,10.0,6.0,0.0,30,140,50,1,48,11,10,0,35,0
153,Coffee & Tea,Caramel Latte (Large),430,120,14.0,8.0,0.0,40,180,62,1,59,15,15,0,50,2
154,Coffee & Tea,Hazelnut Latte (Small),270,80,9.0,5.0,0.0,25,115,40,1,38,9,8,0,30,0
155,Coffee & Tea,Hazelnut Latte (Medium),330,90,10.0,6.0,0.0,30,140,50,1,47,11,10,0,35,0
156,Coffee & Tea,Hazelnut Latte (Large),430,120,14.0,8.0,0.0,40,180,62,1,58,15,15,0,50,2
157,Coffee & Tea,French Vanilla Latte (Small),260,80,9.0,5.0,0.0,25,115,38,1,36,9,8,0,30,0
158,Coffee & Tea,French Vanilla Latte (Medium),330,90,10.0,6.0,0.0,30,140,48,1,45,11,10,0,35,2
159,Coffee & Tea,French Vanilla Latte (Large),420,120,14.0,8.0,0.0,40,190,60,1,56,15,15,0,50,2
160,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Small),210,80,9.0,5.0,0.0,25,150,24,1,12,9,8,0,30,0
161,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Medium),260,90,10.0,6.0,0.0,30,190,29,1,15,12,10,0,35,0
162,Coffee & Tea,Latte with Sugar Free French Vanilla Syrup (Large),330,120,14.0,8.0,0.0,40,240,37,2,20,15,15,0,50,2
163,Coffee & Tea,Nonfat Latte (Small),100,0,0.0,0.0,0.0,5,110,15,1,13,10,10,0,30,0
164,Coffee & Tea,Nonfat Latte (Medium),130,0,0.0,0.0,0.0,5,135,19,1,16,12,15,0,40,0
165,Coffee & Tea,Nonfat Latte (Large),170,0,0.5,0.0,0.0,10,180,25,1,21,16,15,0,50,2
166,Coffee & Tea,Nonfat Caramel Latte (Small),200,0,0.0,0.0,0.0,5,110,41,1,39,10,10,0,30,0
167,Coffee & Tea,Nonfat Caramel Latte (Medium),250,0,0.0,0.0,0.0,5,135,51,1,48,12,15,0,40,0
168,Coffee & Tea,Nonfat Caramel Latte (Large),310,0,0.5,0.0,0.0,10,180,63,1,59,16,15,0,50,2
169,Coffee & Tea,Nonfat Hazelnut Latte (Small),200,0,0.0,0.0,0.0,5,110,40,1,38,10,10,0,30,0
170,Coffee & Tea,Nonfat Hazelnut Latte (Medium),250,0,0.0,0.0,0.0,5,135,51,1,48,12,15,0,40,0
171,Coffee & Tea,Nonfat Hazelnut Latte (Large),310,0,0.5,0.0,0.0,10,180,63,1,59,16,15,0,50,2
172,Coffee & Tea,Nonfat French Vanilla Latte (Small),190,0,0.0,0.0,0.0,5,115,39,1,37,10,10,0,30,0
173,Coffee & Tea,Nonfat French Vanilla Latte (Medium),240,0,0.0,0.0,0.0,5,140,49,1,46,12,15,0,40,2
174,Coffee & Tea,Nonfat French Vanilla Latte (Large),300,0,0.5,0.0,0.0,10,180,60,1,56,16,15,0,50,2
175,Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),140,0,0.0,0.0,0.0,5,150,24,1,13,10,10,0,30,0
176,Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),170,0,0.0,0.0,0.0,5,180,30,1,16,12,15,0,40,0
177,Coffee & Tea,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),220,0,0.5,0.0,0.0,10,240,38,2,21,16,15,0,50,2
178,Coffee & Tea,Mocha (Small),340,100,11.0,7.0,0.0,35,150,49,2,42,10,10,0,30,6
179,Coffee & Tea,Mocha (Medium),410,120,14.0,8.0,0.0,40,190,60,2,53,13,10,0,40,6
180,Coffee & Tea,Mocha (Large),500,150,17.0,10.0,0.5,50,240,72,2,63,16,15,0,50,8
181,Coffee & Tea,Mocha with Nonfat Milk (Small),270,30,3.5,2.0,0.0,15,150,49,2,43,11,10,0,35,6
182,Coffee & Tea,Mocha with Nonfat Milk (Medium),330,30,3.5,2.0,0.0,15,190,60,2,53,13,15,0,40,6
183,Coffee & Tea,Mocha with Nonfat Milk (Large),390,35,4.0,2.5,0.0,20,240,73,2,64,17,20,0,50,8
184,Coffee & Tea,Caramel Mocha (Small),320,100,11.0,7.0,0.0,35,170,45,1,40,10,10,0,30,2
185,Coffee & Tea,Caramel Mocha (Medium),390,120,14.0,8.0,0.5,40,220,55,1,50,12,15,0,40,2
186,Coffee & Tea,Caramel Mocha (Large),480,150,17.0,10.0,0.5,50,270,66,1,60,16,15,0,50,4
187,Coffee & Tea,Nonfat Caramel Mocha (Small),250,30,3.5,2.0,0.0,15,170,45,1,41,10,10,0,35,2
188,Coffee & Tea,Nonfat Caramel Mocha (Medium),310,30,3.5,2.0,0.0,15,210,56,1,51,13,15,0,40,2
189,Coffee & Tea,Nonfat Caramel Mocha (Large),370,35,3.5,2.5,0.0,20,270,67,1,61,17,20,0,50,4
190,Coffee & Tea,Hot Chocolate (Small),360,120,13.0,8.0,0.0,40,180,50,1,45,11,10,0,40,6
191,Coffee & Tea,Hot Chocolate (Medium),440,140,16.0,9.0,0.5,50,220,61,1,56,14,15,0,45,6
192,Coffee & Tea,Hot Chocolate (Large),540,180,20.0,12.0,0.5,60,280,73,1,68,17,20,0,60,8
193,Coffee & Tea,Hot Chocolate with Nonfat Milk (Small),280,30,3.5,2.0,0.0,15,180,50,1,46,12,15,0,40,6
194,Coffee & Tea,Hot Chocolate with Nonfat Milk (Medium),340,30,3.5,2.0,0.0,15,220,61,1,57,14,20,0,50,6
195,Coffee & Tea,Hot Chocolate with Nonfat Milk (Large),400,35,3.5,2.5,0.0,20,280,74,1,69,19,25,0,60,8
196,Coffee & Tea,Regular Iced Coffee (Small),140,40,4.5,3.0,0.0,15,35,23,0,22,1,4,0,4,0
197,Coffee & Tea,Regular Iced Coffee (Medium),190,60,7.0,4.5,0.0,25,50,31,0,30,1,4,0,4,0
198,Coffee & Tea,Regular Iced Coffee (Large),270,80,9.0,6.0,0.0,35,75,47,0,45,2,6,0,8,0
199,Coffee & Tea,Caramel Iced Coffee (Small),130,40,4.5,3.0,0.0,15,35,22,0,21,1,4,0,4,0
200,Coffee & Tea,Caramel Iced Coffee (Medium),180,60,7.0,4.5,0.0,25,50,29,0,28,1,4,0,4,0
201,Coffee & Tea,Caramel Iced Coffee (Large),260,80,9.0,6.0,0.0,35,65,43,0,42,2,6,0,6,0
202,Coffee & Tea,Hazelnut Iced Coffee (Small),130,40,4.5,3.0,0.0,15,35,21,0,20,1,4,0,4,0
203,Coffee & Tea,Hazelnut Iced Coffee (Medium),180,60,7.0,4.5,0.0,25,50,29,0,28,1,4,0,4,0
204,Coffee & Tea,Hazelnut Iced Coffee (Large),250,80,9.0,6.0,0.0,35,75,43,0,41,2,6,0,8,0
205,Coffee & Tea,French Vanilla Iced Coffee (Small),120,40,4.5,3.0,0.0,15,40,20,0,19,1,4,0,4,0
206,Coffee & Tea,French Vanilla Iced Coffee (Medium),170,60,7.0,4.5,0.0,25,55,27,0,26,1,4,0,4,0
207,Coffee & Tea,French Vanilla Iced Coffee (Large),240,80,9.0,6.0,0.0,35,80,41,0,39,2,6,0,8,0
208,Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Small),80,40,4.5,3.0,0.0,15,65,9,0,1,1,4,0,4,0
209,Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),120,60,7.0,4.5,0.0,25,90,12,0,2,1,4,0,4,0
210,Coffee & Tea,Iced Coffee with Sugar Free French Vanilla Syrup (Large),160,80,9.0,6.0,0.0,35,135,18,0,2,2,6,0,8,0
211,Coffee & Tea,Iced Mocha (Small),290,100,11.0,7.0,0.0,35,125,41,1,34,8,10,0,25,4
212,Coffee & Tea,Iced Mocha (Medium),350,110,13.0,8.0,0.0,40,150,50,1,43,9,10,0,30,6
213,Coffee & Tea,Iced Mocha (Large),480,150,16.0,10.0,0.5,50,220,70,2,62,14,15,0,40,8
214,Coffee & Tea,Iced Mocha with Nonfat Milk (Small),240,45,5.0,3.0,0.0,20,125,41,1,35,8,10,0,25,4
215,Coffee & Tea,Iced Mocha with Nonfat Milk (Medium),290,45,5.0,3.5,0.0,20,150,50,1,43,10,15,0,30,6
216,Coffee & Tea,Iced Mocha with Nonfat Milk (Large),390,50,6.0,3.5,0.0,25,220,71,2,62,14,20,0,45,8
217,Coffee & Tea,Iced Caramel Mocha (Small),280,100,11.0,7.0,0.0,35,140,38,0,33,8,10,0,25,2
218,Coffee & Tea,Iced Caramel Mocha (Medium),340,110,13.0,7.0,0.0,40,170,46,1,41,9,10,0,30,2
219,Coffee & Tea,Iced Caramel Mocha (Large),460,150,16.0,10.0,0.5,50,250,65,1,59,13,15,0,40,4
